Facility_ID|Facility_Name|Facility_Type|Ward|Ownership|Operational_Status|Catchment_Population|Constituency
1|Mufulira Teachers Training College Health Post|Health Post|Buntungwa|GRZ|OPNL||Unspecified
2|Luansobe Rural Health Centre|Rural Health Centre|Kangwa Nsuluka|GRZ|OPNL||Unspecified
3|Butondo Urban Health Centre|Urban Health Centre|Bufuke|GRZ|OPNL||Unspecified
4|Chibolya Urban Health Centre|Urban Health Centre|John Kampengele|GRZ|OPNL||Unspecified
5|Mufulira Clinic 5 Urban Health Centre|Urban Health Centre|Fibusa|GRZ|OPNL||Unspecified
6|Triple S (CHAI) Health Post|Health Post|Luansobe|GRZ|OPNL||Unspecified
7|Mufulira Clinic 7 Urban Health Centre|Urban Health Centre|Bufuke|Private|OPNL||Unspecified
8|Mupena Health Post|Health Post|Mutundu|GRZ|OPNL||Unspecified
9|Minambe Health Post|Health Post|Minambe|GRZ|OPNL||Unspecified
10|Mupambe Health Post|Health Post|Mupambe|GRZ|OPNL||Unspecified
11|Mokambo Rural Health Centre|Urban Health Centre|Mokambo|GRZ|OPNL||Unspecified
12|Mufulira Clinic 1 Urban Health Centre|Urban Health Centre|Mulungunshi|GRZ|OPNL||Unspecified
13|Mufulira Clinic 3 Urban Health Centre|Urban Health Centre|Leya Mukutu|GRZ|OPNL||Unspecified
14|Murundu Rural Health Centre|Urban Health Centre|Murundu|GRZ|OPNL||Unspecified
15|Ronald Ross General Hospital|Hospital Level 2|Leya Mukutu|GRZ|OPNL||Unspecified
16|Malcolm Watson Hospital|Hospital - Level 1|David Kaunda|Private|OPNL||Unspecified
17|Mufulira Clinic 2 Urban Health Centre|Urban Health Centre|Shinde|Private|OPNL||Unspecified
18|Mufulira Clinic 6 Urban Health Centre|Urban Health Centre|Bwafwano|Private|OPNL||Unspecified
